1,H,BOS,W (+3),41:12:00,12,19,1,5,4,4,1,15,16,9,0,2,4,3,29
2,@,MIL,W (+19),37:25:00,10,16,2,4,2,2,1,4,5,8,1,1,5,1,24
3,H,ORL,L (-21),31:12:00,8,15,1,3,5,6,0,4,4,2,1,1,1,0,22
4,H,CHI,W (+7),37:15:00,13,20,4,6,4,5,0,2,2,13,3,0,2,1,34
5,@,BRK,L (-5),41:22:00,12,20,1,2,4,8,1,9,10,13,0,4,8,1,29
6,@,NOP,L (-22),30:46:00,6,11,1,3,5,6,0,3,3,8,0,0,4,3,18
7,H,NYK,L (-19),39:28:00,7,15,1,4,1,1,1,9,10,7,2,0,4,2,16
8,H,IND,L (-17),37:28:00,14,22,1,5,4,5,1,5,6,11,2,1,8,1,33
9,@,WAS,W (+8),42:41:00,23,34,2,4,9,9,5,6,11,7,3,2,3,2,57
10,H,ATL,L (-2),40:35:00,10,17,0,3,6,6,2,3,5,13,1,2,6,4,26
11,H,MIL,W (+5),36:42:00,10,20,2,4,8,10,1,7,8,9,3,0,1,1,30
12,@,HOU,L (-4),40:01:00,15,24,1,4,2,3,0,4,4,7,1,1,8,4,33
13,@,DAL,W (+7),41:47:00,6,14,1,3,6,8,1,10,11,4,0,1,6,3,19
14,@,NYK,W (+3),36:16:00,7,14,2,4,7,10,3,6,9,12,0,3,5,1,23
15,@,CHO,W (+8),36:38:00,12,24,4,7,3,3,2,4,6,8,2,1,3,4,31
16,H,LAC,W (+5),46:08:00,17,26,4,9,1,5,1,13,14,6,0,0,6,0,39
17,@,DET,W (+28),27:16:00,7,14,3,5,1,1,0,2,2,8,1,1,0,2,18
18,H,BRK,W (+10),33:26:00,11,17,4,7,7,9,1,5,6,5,2,0,3,2,33
19,H,CHO,W (+1),39:34:00,10,20,3,8,4,7,1,15,16,13,0,3,3,2,27
20,@,PHI,W (+22),31:03:00,12,23,3,7,3,4,3,11,14,6,0,0,3,0,30
21,H,MIA,W (+11),28:26:00,10,16,1,3,0,1,2,10,12,6,5,1,2,1,21
22,@,ATL,W (+7),37:34:00,8,11,3,6,5,7,1,5,6,12,2,2,3,3,24
23,H,MEM,W (+5),39:09:00,13,22,0,3,8,8,0,2,2,12,0,1,5,1,34
24,@,CHI,W (+22),34:16:00,9,15,2,4,3,4,0,7,7,6,2,0,2,1,23
25,H,SAC,W (+6),41:03:00,12,18,5,8,3,6,2,9,11,9,3,2,7,0,32
26,@,IND,L (-4),39:25:00,12,22,1,5,4,5,2,8,10,8,1,2,3,1,29
27,H,PHI,W (+7),38:44:00,9,23,2,6,10,12,3,10,13,13,3,0,6,1,30
28,H,ATL,W (+9),35:01:00,11,13,2,3,1,2,0,7,7,17,2,0,2,4,25
29,H,LAL,W (+9),38:43:00,8,18,1,6,8,12,1,11,12,12,2,2,5,0,25
30,H,UTA,W (+9),36:48:00,9,15,1,4,10,10,0,11,11,10,1,0,5,2,29
31,@,WAS,W (+7),41:21:00,8,23,2,7,2,3,2,9,11,15,0,1,6,4,20
32,@,MIL,L (-3),34:14:00,14,22,6,11,5,5,0,1,1,7,3,2,7,1,39
33,H,CHI,W (+3),39:06:00,12,23,2,5,8,8,1,5,6,9,3,0,4,1,34
34,@,GSW,L (-7),40:03:00,7,18,2,7,4,7,1,5,6,6,0,0,7,2,20
35,@,SAC,L (-14),37:42:00,6,17,0,2,4,5,2,8,10,14,5,0,4,2,16
36,@,UTA,L (-3),37:27:00,12,22,1,7,4,5,1,7,8,6,2,1,6,1,29
37,H,POR,W (+17),33:49:00,10,17,0,2,4,4,1,5,6,8,4,1,3,2,24
38,@,BOS,L (-14),32:42:00,8,15,0,2,3,3,0,7,7,6,1,1,4,1,19
39,@,ORL,W (+4),37:17:00,12,23,4,7,5,7,3,7,10,9,6,1,3,1,33
40,@,MIN,L (-28),26:35:00,4,8,1,3,1,3,1,7,8,5,0,2,3,2,10
41,@,TOR,L (-34),32:14:00,9,16,0,1,8,10,0,3,3,1,1,2,2,1,26
42,@,IND,L (-2),40:27:00,11,25,2,9,3,4,2,6,8,11,3,1,5,2,27
43,H,GSW,L (-10),36:15:00,12,18,0,2,8,13,2,6,8,6,3,4,8,3,32
44,H,ORL,W (+1),34:47:00,7,16,0,4,2,8,1,4,5,6,1,0,6,1,16
45,H,OKC,L (-24),38:22:00,8,17,0,4,2,4,0,3,3,7,0,1,2,2,18
46,@,SAS,L (-12),37:57:00,10,23,2,6,6,10,2,7,9,7,0,1,5,0,28
47,H,IND,W (+7),39:55:00,11,17,0,2,4,5,0,10,10,11,4,1,11,0,26
48,H,DET,W (+17),37:48:00,8,15,1,4,8,9,1,7,8,14,1,0,3,0,25
49,@,DET,L (-11),37:45:00,9,20,2,7,1,2,0,6,6,7,0,1,4,2,21
50,H,MIA,W (+2),38:17:00,8,21,1,6,7,11,2,9,11,5,1,0,7,1,24
51,H,HOU,L (-32),31:22:00,3,10,1,2,4,4,1,8,9,9,2,1,2,0,11
52,@,ORL,L (-18),33:05:00,10,17,2,4,3,4,1,9,10,5,1,0,6,4,25
53,H,MIN,W (+2),48:19:00,16,22,5,7,0,2,1,9,10,15,1,1,5,3,37
54,@,ATL,W (+16),40:43:00,8,20,0,3,6,7,2,10,12,19,0,0,3,2,22
55,@,BOS,W (+22),27:54:00,9,20,2,5,4,7,0,8,8,10,1,1,2,1,24
56,@,OKC,W (+8),39:44:00,14,23,3,7,6,10,0,8,8,8,0,1,5,1,37